Year,Area,Level,BirthRate
2022,Offaly,County,9.9
2022,Roscommon,County,9.8
2022,Sligo,County,9.5
2022,South Dublin,County,11.7
2022,South-East,Region,10.5
2022,South-West,Region,9.9
2022,State,National,10.5
2022,Tipperary,County,10.1
2022,Ulster (part of),Province,10.5
2022,Waterford City,County,12.4
2022,Waterford County,County,9.5
2022,West,Region,10.3
2022,Westmeath,County,11.3
2022,Wexford,County,10.5
2022,Wicklow,County,10.2
2023,Border,Region,10.4
2023,Carlow,County,10.4
2023,Cavan,County,11.8
2023,Clare,County,9.4
2023,Connacht,Province,9.9
2023,Cork City,County,9.1
2023,Cork County,County,10.0
2023,Donegal,County,10.0
2023,Dublin,Region,10.4
2023,Dublin City,County,10.3
2023,Dun Laoghaire-Rathdown,County,9.0
2023,Fingal,County,10.8
2023,Galway City,County,8.7
2023,Galway County,County,11.0
2023,Kerry,County,8.8
2023,Kildare,County,11.9
2023,Kilkenny,County,9.4
2023,Laois,County,10.2
2023,Leinster,Province,10.6
2023,Leitrim,County,9.3
2023,Limerick City,County,12.1
2023,Limerick County,County,10.0
2023,Longford,County,11.2
2023,Louth,County,10.9
2023,Mayo,County,9.5
2023,Meath,County,11.8
2023,Mid-East,Region,11.2
2023,Mid-West,Region,10.1
2023,Midland,Region,10.5
2023,Monaghan,County,11.0
2023,Munster,Province,9.8
2023,Offaly,County,10.0
2023,Roscommon,County,9.6
2023,Sligo,County,9.9
2023,South Dublin,County,11.2
2023,South-East,Region,10.1
2023,South-West,Region,9.6
2023,State,National,10.3
2023,Tipperary,County,9.9
2023,Ulster (part of),Province,10.7
2023,Waterford City,County,12.1
2023,Waterford County,County,8.6
2023,West,Region,10.0
2023,Westmeath,County,11.1
2023,Wexford,County,10.6
2023,Wicklow,County,9.8
