Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2012,Waterford County,County,12.9,15.6,-2.6999999999999993
2012,West,Region,14.7,15.6,-0.9000000000000004
2012,Westmeath,County,16.7,15.6,1.0999999999999996
2012,Wexford,County,15.2,15.6,-0.40000000000000036
2012,Wicklow,County,16.3,15.6,0.7000000000000011
2013,Border,Region,14.1,15.0,-0.9000000000000004
2013,Carlow,County,15.8,15.0,0.8000000000000007
2013,Cavan,County,15.5,15.0,0.5
2013,Clare,County,12.8,15.0,-2.1999999999999993
2013,Connacht,Province,14.3,15.0,-0.6999999999999993
2013,Cork City,County,12.6,15.0,-2.4000000000000004
2013,Cork County,County,15.5,15.0,0.5
2013,Donegal,County,12.3,15.0,-2.6999999999999993
2013,Dublin,Region,16.2,15.0,1.1999999999999993
2013,Dublin City,County,15.2,15.0,0.1999999999999993
2013,Dun Laoghaire-Rathdown,County,13.6,15.0,-1.4000000000000004
2013,Fingal,County,19.3,15.0,4.300000000000001
2013,Galway City,County,16.4,15.0,1.3999999999999986
2013,Galway County,County,14.8,15.0,-0.1999999999999993
2013,Kerry,County,12.2,15.0,-2.8000000000000007
2013,Kildare,County,16.1,15.0,1.1000000000000014
2013,Kilkenny,County,13.8,15.0,-1.1999999999999993
2013,Laois,County,14.8,15.0,-0.1999999999999993
2013,Leinster,Province,15.8,15.0,0.8000000000000007
2013,Leitrim,County,14.4,15.0,-0.5999999999999996
2013,Limerick City,County,15.0,15.0,0.0
2013,Limerick County,County,14.3,15.0,-0.6999999999999993
2013,Longford,County,15.3,15.0,0.3000000000000007
2013,Louth,County,15.9,15.0,0.9000000000000004
2013,Mayo,County,13.1,15.0,-1.9000000000000004
2013,Meath,County,16.9,15.0,1.8999999999999986
2013,Mid-East,Region,16.1,15.0,1.1000000000000014
2013,Mid-West,Region,14.0,15.0,-1.0
2013,Midland,Region,14.7,15.0,-0.3000000000000007
2013,Monaghan,County,14.2,15.0,-0.8000000000000007
2013,Munster,Province,14.2,15.0,-0.8000000000000007
2013,Offaly,County,13.7,15.0,-1.3000000000000007
2013,Roscommon,County,13.2,15.0,-1.8000000000000007
2013,Sligo,County,13.8,15.0,-1.1999999999999993
2013,South Dublin,County,17.0,15.0,2.0
2013,South-East,Region,14.3,15.0,-0.6999999999999993
2013,South-West,Region,14.3,15.0,-0.6999999999999993
2013,State,National,15.0,15.0,0.0
2013,Tipperary,County,14.15,15.0,-0.8499999999999996
2013,Ulster (part of),Province,13.5,15.0,-1.5
2013,Waterford City,County,17.0,15.0,2.0
2013,Waterford County,County,13.6,15.0,-1.4000000000000004
2013,West,Region,14.3,15.0,-0.6999999999999993
2013,Westmeath,County,15.2,15.0,0.1999999999999993
2013,Wexford,County,13.9,15.0,-1.0999999999999996
2013,Wicklow,County,14.9,15.0,-0.09999999999999964
2014,Border,Region,13.4,14.6,-1.1999999999999993
2014,Carlow,County,16.8,14.6,2.200000000000001
2014,Cavan,County,14.7,14.6,0.09999999999999964
2014,Clare,County,12.5,14.6,-2.0999999999999996
2014,Connacht,Province,13.7,14.6,-0.9000000000000004
2014,Cork City,County,12.9,14.6,-1.6999999999999993
2014,Cork County,County,14.7,14.6,0.09999999999999964
2014,Donegal,County,11.7,14.6,-2.9000000000000004
2014,Dublin,Region,15.9,14.6,1.3000000000000007
2014,Dublin City,County,15.0,14.6,0.40000000000000036
2014,Dun Laoghaire-Rathdown,County,13.6,14.6,-1.0
2014,Fingal,County,18.4,14.6,3.799999999999999
2014,Galway City,County,15.8,14.6,1.200000000000001
2014,Galway County,County,14.4,14.6,-0.1999999999999993
2014,Kerry,County,11.8,14.6,-2.799999999999999
2014,Kildare,County,15.9,14.6,1.3000000000000007
2014,Kilkenny,County,13.6,14.6,-1.0
2014,Laois,County,14.3,14.6,-0.29999999999999893
2014,Leinster,Province,15.5,14.6,0.9000000000000004
2014,Leitrim,County,12.7,14.6,-1.9000000000000004
2014,Limerick City,County,15.6,14.6,1.0
2014,Limerick County,County,13.8,14.6,-0.7999999999999989
2014,Longford,County,14.1,14.6,-0.5
2014,Louth,County,15.1,14.6,0.5
2014,Mayo,County,12.8,14.6,-1.799999999999999
2014,Meath,County,15.7,14.6,1.0999999999999996
2014,Mid-East,Region,15.5,14.6,0.9000000000000004
2014,Mid-West,Region,13.6,14.6,-1.0
2014,Midland,Region,14.6,14.6,0.0
2014,Monaghan,County,13.7,14.6,-0.9000000000000004
2014,Munster,Province,13.7,14.6,-0.9000000000000004
2014,Offaly,County,14.5,14.6,-0.09999999999999964
2014,Roscommon,County,12.6,14.6,-2.0
2014,Sligo,County,12.9,14.6,-1.6999999999999993
2014,South Dublin,County,16.9,14.6,2.299999999999999
2014,South-East,Region,14.1,14.6,-0.5
2014,South-West,Region,13.8,14.6,-0.7999999999999989
2014,State,National,14.6,14.6,0.0
2014,Tipperary,County,13.100000000000001,14.6,-1.4999999999999982
2014,Ulster (part of),Province,12.9,14.6,-1.6999999999999993
2014,Waterford City,County,16.4,14.6,1.799999999999999
2014,Waterford County,County,12.5,14.6,-2.0999999999999996
2014,West,Region,13.9,14.6,-0.6999999999999993
2014,Westmeath,County,15.4,14.6,0.8000000000000007
2014,Wexford,County,14.2,14.6,-0.40000000000000036
2014,Wicklow,County,14.4,14.6,-0.1999999999999993
2015,Border,Region,13.2,14.0,-0.8000000000000007
2015,Carlow,County,14.5,14.0,0.5
2015,Cavan,County,14.2,14.0,0.1999999999999993
2015,Clare,County,13.0,14.0,-1.0
2015,Connacht,Province,13.1,14.0,-0.9000000000000004
2015,Cork City,County,12.8,14.0,-1.1999999999999993
2015,Cork County,County,14.5,14.0,0.5
2015,Donegal,County,11.9,14.0,-2.0999999999999996
2015,Dublin,Region,14.8,14.0,0.8000000000000007
2015,Dublin City,County,14.2,14.0,0.1999999999999993
2015,Dun Laoghaire-Rathdown,County,13.0,14.0,-1.0
2015,Fingal,County,16.8,14.0,2.8000000000000007
2015,Galway City,County,14.7,14.0,0.6999999999999993
2015,Galway County,County,13.9,14.0,-0.09999999999999964
2015,Kerry,County,11.5,14.0,-2.5
2015,Kildare,County,15.3,14.0,1.3000000000000007
2015,Kilkenny,County,12.7,14.0,-1.3000000000000007
2015,Laois,County,14.2,14.0,0.1999999999999993
2015,Leinster,Province,14.5,14.0,0.5
2015,Leitrim,County,13.0,14.0,-1.0
2015,Limerick City,County,14.4,14.0,0.40000000000000036
2015,Limerick County,County,14.1,14.0,0.09999999999999964
2015,Longford,County,14.4,14.0,0.40000000000000036
2015,Louth,County,14.7,14.0,0.6999999999999993
2015,Mayo,County,12.1,14.0,-1.9000000000000004
2015,Meath,County,14.5,14.0,0.5
2015,Mid-East,Region,14.7,14.0,0.6999999999999993
2015,Mid-West,Region,13.8,14.0,-0.1999999999999993
2015,Midland,Region,13.8,14.0,-0.1999999999999993
2015,Monaghan,County,13.3,14.0,-0.6999999999999993
2015,Munster,Province,13.6,14.0,-0.40000000000000036
2015,Offaly,County,12.7,14.0,-1.3000000000000007
2015,Roscommon,County,11.9,14.0,-2.0999999999999996
2015,Sligo,County,12.3,14.0,-1.6999999999999993
2015,South Dublin,County,15.3,14.0,1.3000000000000007
2015,South-East,Region,13.3,14.0,-0.6999999999999993
2015,South-West,Region,13.6,14.0,-0.40000000000000036
2015,State,National,14.0,14.0,0.0
2015,Tipperary,County,13.3,14.0,-0.6999999999999993
2015,Ulster (part of),Province,12.8,14.0,-1.1999999999999993
2015,Waterford City,County,14.1,14.0,0.09999999999999964
2015,Waterford County,County,13.0,14.0,-1.0
2015,West,Region,13.2,14.0,-0.8000000000000007
2015,Westmeath,County,14.1,14.0,0.09999999999999964
2015,Wexford,County,13.5,14.0,-0.5
2015,Wicklow,County,14.1,14.0,0.09999999999999964
2016,Border,Region,12.9,13.5,-0.5999999999999996
2016,Carlow,County,13.3,13.5,-0.1999999999999993
2016,Cavan,County,14.1,13.5,0.5999999999999996
2016,Clare,County,12.4,13.5,-1.0999999999999996
2016,Connacht,Province,12.9,13.5,-0.5999999999999996
2016,Cork City,County,11.8,13.5,-1.6999999999999993
2016,Cork County,County,13.4,13.5,-0.09999999999999964
2016,Donegal,County,11.9,13.5,-1.5999999999999996
2016,Dublin,Region,14.3,13.5,0.8000000000000007
2016,Dublin City,County,13.5,13.5,0.0
2016,Dun Laoghaire-Rathdown,County,12.7,13.5,-0.8000000000000007
2016,Fingal,County,16.5,13.5,3.0
2016,Galway City,County,14.8,13.5,1.3000000000000007
2016,Galway County,County,13.6,13.5,0.09999999999999964
2016,Kerry,County,11.7,13.5,-1.8000000000000007
2016,Kildare,County,14.7,13.5,1.1999999999999993
2016,Kilkenny,County,12.1,13.5,-1.4000000000000004
2016,Laois,County,13.3,13.5,-0.1999999999999993
2016,Leinster,Province,14.0,13.5,0.5
2016,Leitrim,County,13.0,13.5,-0.5
2016,Limerick City,County,14.7,13.5,1.1999999999999993
2016,Limerick County,County,13.0,13.5,-0.5
2016,Longford,County,14.9,13.5,1.4000000000000004
2016,Louth,County,13.9,13.5,0.40000000000000036
2016,Mayo,County,11.9,13.5,-1.5999999999999996
2016,Meath,County,14.1,13.5,0.5999999999999996
2016,Mid-East,Region,14.1,13.5,0.5999999999999996
2016,Mid-West,Region,13.0,13.5,-0.5
2016,Midland,Region,13.6,13.5,0.09999999999999964
2016,Monaghan,County,13.1,13.5,-0.40000000000000036
2016,Munster,Province,12.9,13.5,-0.5999999999999996
2016,Offaly,County,12.7,13.5,-0.8000000000000007
2016,Roscommon,County,11.7,13.5,-1.8000000000000007
2016,Sligo,County,12.0,13.5,-1.5
2016,South Dublin,County,14.8,13.5,1.3000000000000007
2016,South-East,Region,12.7,13.5,-0.8000000000000007
2016,South-West,Region,12.8,13.5,-0.6999999999999993
2016,State,National,13.5,13.5,0.0
2016,Tipperary,County,12.85,13.5,-0.6500000000000004
2016,Ulster (part of),Province,12.7,13.5,-0.8000000000000007
2016,Waterford City,County,11.6,13.5,-1.9000000000000004
2016,Waterford County,County,13.6,13.5,0.09999999999999964
2016,West,Region,13.0,13.5,-0.5
2016,Westmeath,County,14.1,13.5,0.5999999999999996
2016,Wexford,County,12.6,13.5,-0.9000000000000004
2016,Wicklow,County,13.4,13.5,-0.09999999999999964
2017,Border,Region,12.4,12.9,-0.5
2017,Carlow,County,13.4,12.9,0.5
2017,Cavan,County,13.7,12.9,0.7999999999999989
2017,Clare,County,11.9,12.9,-1.0
2017,Connacht,Province,12.2,12.9,-0.7000000000000011
2017,Cork City,County,11.1,12.9,-1.8000000000000007
2017,Cork County,County,13.0,12.9,0.09999999999999964
2017,Donegal,County,11.4,12.9,-1.5
2017,Dublin,Region,13.5,12.9,0.5999999999999996
2017,Dublin City,County,13.0,12.9,0.09999999999999964
2017,Dun Laoghaire-Rathdown,County,9.3,12.9,-3.5999999999999996
2017,Fingal,County,15.1,12.9,2.1999999999999993
2017,Galway City,County,12.1,12.9,-0.8000000000000007
2017,Galway County,County,13.4,12.9,0.5
2017,Kerry,County,11.2,12.9,-1.700000000000001
2017,Kildare,County,14.0,12.9,1.0999999999999996
2017,Kilkenny,County,11.7,12.9,-1.200000000000001
2017,Laois,County,13.9,12.9,1.0
2017,Leinster,Province,13.4,12.9,0.5
2017,Leitrim,County,12.3,12.9,-0.5999999999999996
2017,Limerick City,County,13.5,12.9,0.5999999999999996
2017,Limerick County,County,13.0,12.9,0.09999999999999964
2017,Longford,County,13.1,12.9,0.1999999999999993
2017,Louth,County,13.3,12.9,0.40000000000000036
2017,Mayo,County,11.4,12.9,-1.5
2017,Meath,County,13.6,12.9,0.6999999999999993
2017,Mid-East,Region,13.5,12.9,0.5999999999999996
2017,Mid-West,Region,12.7,12.9,-0.20000000000000107
2017,Midland,Region,13.6,12.9,0.6999999999999993
2017,Monaghan,County,12.4,12.9,-0.5
2017,Munster,Province,12.4,12.9,-0.5
2017,Offaly,County,12.7,12.9,-0.20000000000000107
2017,Roscommon,County,11.7,12.9,-1.200000000000001
2017,Sligo,County,11.3,12.9,-1.5999999999999996
2017,South Dublin,County,17.8,12.9,4.9
2017,South-East,Region,12.3,12.9,-0.5999999999999996
2017,South-West,Region,12.3,12.9,-0.5999999999999996
2017,State,National,12.9,12.9,0.0
2017,Tipperary,County,12.45,12.9,-0.45000000000000107
2017,Ulster (part of),Province,12.2,12.9,-0.7000000000000011
2017,Waterford City,County,11.8,12.9,-1.0999999999999996
2017,Waterford County,County,12.2,12.9,-0.7000000000000011
2017,West,Region,12.4,12.9,-0.5
2017,Westmeath,County,14.2,12.9,1.299999999999999
2017,Wexford,County,12.6,12.9,-0.3000000000000007
2017,Wicklow,County,12.8,12.9,-0.09999999999999964
2018,Border,Region,12.3,12.6,-0.29999999999999893
2018,Carlow,County,14.3,12.6,1.700000000000001
2018,Cavan,County,13.2,12.6,0.5999999999999996
2018,Clare,County,11.4,12.6,-1.1999999999999993
2018,Connacht,Province,11.9,12.6,-0.6999999999999993
2018,Cork City,County,10.8,12.6,-1.799999999999999
2018,Cork County,County,12.9,12.6,0.3000000000000007
2018,Donegal,County,11.6,12.6,-1.0
2018,Dublin,Region,13.1,12.6,0.5
2018,Dublin City,County,12.5,12.6,-0.09999999999999964
2018,Dun Laoghaire-Rathdown,County,11.4,12.6,-1.1999999999999993
2018,Fingal,County,14.9,12.6,2.3000000000000007
2018,Galway City,County,12.5,12.6,-0.09999999999999964
2018,Galway County,County,12.7,12.6,0.09999999999999964
